IBIS Report Name,NAICS Code
Hops Farming in the US,111990
Horse & Other Equine Production in the US,112920
Horse Racing Tracks in the US,711212
Horse Training Services in the US,115210
Hose & Belt Manufacturing in the US,326220
Hosiery Mills in the US,315110
Hospices & Palliative Care Centers in the US,621610
Hospital Bed Manufacturing in the US,339113
Hospital Construction in the US,236220
Hospitals in the US,622110
Hot Dog & Sausage Production in the US,311612
Hot Sauce Production in the US,311941
Hot Tub Manufacturing in the US,337910
Hotel Construction in the US,236220
Hotels & Motels in the US,721110
House Painting & Decorating Contractors in the US,238320
Household Appliance Stores in the US,443141
Household Furniture Manufacturing in the US,337122
Housing Developers in the US,236117
HR & Payroll Software in the US,511210
HR Consulting in the US,541612
Human Resources & Benefits Administration in the US,541612
Hunting & Fishing Supplies Stores in the US,451110
Hunting & Trapping in the US,114210
HVAC Service Franchises in the US,238220
Hybrid & Electric Vehicle Manufacturing in the US,336112
Hydraulic Fracturing Services in the US,213112
Hydroelectric Power in the US,221111
Hydroponic Crop Farming in the US,111419
Hydroponic Growing Equipment Stores in the US,444220
Ice Cream & Gelato Store Franchises,722515
Ice Cream Production in the US,311520
Ice Cream Stores in the US,722515
Ice Making Machine Manufacturing,333415
Ice Manufacturing in the US,312113
Ice Rinks in the US,713940
Identity Management Software in the US,511210
Identity Theft Insurance,524210
Identity Theft Protection Services in the US,561611
Immigration Lawyers & Attorneys in the US,541110
In-Home Senior Care Franchises,621610
Independent Label Music Production in the US,512230
Indian Restaurants in the US,722511
Indoor Climbing Walls in the US,713990
Indoor Cycling Workout Classes in the US,713940
Indoor Marble Contractors in the US,238340
Indoor Play Centers in the US,713990
Indoor Sports Facilities Management in the US,713990
Industrial & Commercial Fan & Blower Manufacturing,333413
Industrial & Fluid Power Valve Manufacturing in the US,332911
Industrial Banks in the US,522190
Industrial Building Construction in the US,236210
Industrial Chocolate Production in the US,311351
Industrial Designers in the US,541420
Industrial Equipment Rental & Leasing in the US,532490
Industrial Hemp Production in the US,111998
Industrial Laundry & Linen Supply in the US,812331
Industrial Machinery & Equipment Wholesaling in the US,423830
Industrial Spraying Equipment Manufacturing in the US,333912
Industrial Supplies Wholesaling in the US,423840
Infant Formula Manufacturing in the US,311514
Infectious Disease Specialists in the US,621111
Information in the US,51
Ink Manufacturing in the US,325910
Inkjet & Toner Replacement Store Franchises in the US,443142
Inland Water Transportation in the US,483211
Inorganic Chemical Manufacturing in the US,325180
Insect Repellent Manufacturing,325620
Installment Lenders in the US,522291
Institutional Pharmacies in the US,446110
Insulation Contractors in the US,238310
Insulin Manufacturing in the US,325414
Insurance Brokers & Agencies in the US,524210
Insurance Claims Processing Software in the US,511210
Intellectual Property Licensing in the US,533110
Interior Designers in the US,541410
Intermodal Container Leasing in the US,532411
International Airlines in the US,481112
International Trade Financing,522293
Internet Hosting Services in the US,518210
Internet Publishing and Broadcasting in the US,519130
Internet Radio Broadcasting in the US,519130
Internet Service Providers in the US,517311
Interval Training Gyms in the US,713940
Intravenous (IV) Hydration Centers in the US,621999
Intravenous (IV) Solution Manufacturing in the US,325412
Investigation Services in the US,561611
Investment Banking & Securities Dealing in the US,523110
Investment Banking & Securities Intermediation in the US,523110
Invoice Factoring in the US,522299
Iron & Steel Manufacturing in the US,331110
Iron Ore Mining in the US,212210
IT Consulting in the US,541512
IT Security Consulting in the US,541512
Italian Restaurants in the US,722511
Janitorial Equipment Supply Wholesaling in the US,423850
Janitorial Services in the US,561720
Japanese Restaurants in the US,722511
Jet Ski Rental in the US,532284
Jewelry & Watch Wholesaling in the US,423940
Jewelry Manufacturing in the US,339910
Jewelry Stores in the US,448310
Job Training & Career Counseling in the US,624310
Juice & Smoothie Bars in the US,722515
Juice Production in the US,312130
Karaoke Bars,722410
Kayak Rental in the US,532284
Kickboxing Studios in the US,713940
Kitchen & Cookware Stores in the US,445299
Kombucha Production in the US,312130
Korean Restaurants,722511
Laboratory Casework Manufacturing,337127
Laboratory Design & Build Contractors in the US,236220
Laboratory Fume Hoods Manufacturing,339113
Laboratory Information Management Systems in the US,511210
Laboratory Supply Wholesaling in the US,423490
Laboratory Testing Services in the US,541380
Laminated Plastics Manufacturing in the US,326130
Lamp & Lighting Stores in the US,442299
LAN Gaming Centers in the US,713290
Land Development in the US,237210
Land Leasing in the US,531190
Landscape Design in the US,541320
Landscaping & Gardening Franchises in the US,561730
Landscaping Services in the US,561730
Language Instruction in the US,611630
Language Learning Software Developers in the US,511210
Laser Tag Arenas,713990
Laundromats in the US,812310
Law Firms in the US,541110
Lawn & Outdoor Equipment Stores in the US,444210
Lawn and Garden Equipment Manufacturing in the US,333112
Lawn Sprinkler Installation Contractors in the US,238220
Learning Management Software in the US,511210
Leather Good & Luggage Manufacturing in the US,316990
Leather Tanning & Finishing in the US,316110
LED Manufacturing in the US,334413
Libraries & Archives in the US,519120
Licensed Sports Apparel Stores in the US,448150
Life Coaches in the US,611430
Life Insurance & Annuities in the US,524113
Lighting & Bulb Manufacturing in the US,335110
Lighting Fixtures Manufacturing in the US,335120
Lime Manufacturing in the US,327410
Limousine & Town Car Services in the US,485320
Lingerie Stores in the US,448190
"Lingerie, Swimwear & Bridal Stores in the US",448190
Lipstick Manufacturing in the US,325620
Lithium Battery Manufacturing in the US,335910
Live Performance Theaters in the US,711110
Livestock Production Support Services in the US,115210
"Loan Administration, Check Cashing & Other Services in the US",522390
Loan Brokers in the US,522310
Local Freight Trucking in the US,484110
Local Refrigerated Trucking in the US,484220
Local Specialized Freight Trucking in the US,484220
Locksmiths in the US,561622
Logging in the US,113310
Long Term Care Insurance in the US,524114
Long-Distance Freight Trucking in the US,484121
Long-Distance Refrigerated Trucking in the US,484230
Lotteries & Native American Casinos in the US,713290
Lubricant Oil Manufacturing in the US,324191
Lumber & Building Material Stores in the US,444110
Lumber Wholesaling in the US,423310
Lumber Yards in the US,444110
Machine Shop Services in the US,332710
Machinery Maintenance & Heavy Equipment Repair Services in the US,811310
Magazine & Periodical Publishing in the US,511120
Magicians in the US,711510
"Maids, Nannies & Gardeners in the US",561720
Mail Order in the US,454110
Major Household Appliance Manufacturing in the US,335220
Major Label Music Production in the US,512250
Major Smart Appliance Manufacturing in the US,335220
Makeup Artists in the US,812119
Mall Carts & Kiosks in the US,453998
Management Consulting in the US,541611
Manufactured Home Dealers in the US,453930
Manufactured Home Wholesaling in the US,423390
Manufacturing in the US,31-33
Marble Product Manufacturing in the US,327991
Margarine & Cooking Oil Processing in the US,311225
Marinas in the US,713930
Marine Salvage Services,488390
Market Research in the US,541910
Marketing Consultants in the US,541613
Marriage Counselors in the US,621330
Martial Arts Studios in the US,713940
Masonry in the US,238140
Massage Franchises,812199
Massage Schools in the US,611519
Massage Services in the US,812199
Material Handling Equipment Distributors in the US,423830
Maternity Wear Stores in the US,448190
Mattress Manufacturing in the US,337910
Mayonnaise Production,311941
Meal Kit Delivery Services in the US,454110
Meal Replacement Product Manufacturing in the US,311999
Meat Alternatives Production in the US,311991
Meat Jerky Production in the US,311612
Meat Markets in the US,445210
"Meat, Beef & Poultry Processing in the US",311610
Media Buying Agencies in the US,541830
Media Representative Firms in the US,541840
"Media Streaming, Social Networks and Other Content Providers in the US",519130
Mediation Services in the US,541990
Medical & Recreational Marijuana Growing in the US,111998
Medical & Recreational Marijuana Stores in the US,453998
Medical Adhesives & Sealants Manufacturing in the US,325520
Medical Billing Services in the US,541219
Medical Case Management Services in the US,621999
Medical Claims Processing Services in the US,524291
Medical Device Manufacturing in the US,339112
Medical Equipment Rental in the US,532283
Medical Equipment Repair & Maintenance Services in the US,811219
Medical Group Practice Management in the US,621111
Medical Instrument & Supply Manufacturing in the US,339112
Medical Malpractice Insurance,524126
Medical Marijuana Dispensaries in the US,453998
Medical Patient Financing in the US,522291
Medical Supplies Wholesaling in the US,423450
Medical Waste Disposal Services in the US,562112
Meditation Studios in the US,812199
Mediterranean Restaurants in the US,722511
Memory Care Providers in the US,623312
Men's & Boys' Apparel Manufacturing in the US,315220
Men's & Boys' Apparel Wholesaling in the US,424320
Men's Clothing Stores in the US,448110
Mental Health & Substance Abuse Centers in the US,622210
Mental Health & Substance Abuse Clinics in the US,621420
Merchant Banking Services in the US,522110
Metal Can & Container Manufacturing in the US,332430
Metal Door Manufacturing,332321
Metal Pipe & Tube Manufacturing in the US,331210
Metal Plating & Treating in the US,332813
Metal Stamping & Forging in the US,332111
Metal Tank Manufacturing in the US,332420
Metal Wholesaling in the US,423510
Metalworking Machinery Manufacturing in the US,333510
Methanol Production in the US,325199
Mexican Restaurants in the US,722511
Midwives & Doulas in the US,621399
Millwork in the US,321911
Millwork Product Wholesaling,423310
Mineral & Phosphate Mining in the US,212390
Mineral Product Manufacturing in the US,327999
Miniature Golf Courses in the US,713990
Mining in the US,21
"Mining, Oil & Gas Machinery Manufacturing in the US",333132
Mobile Storage Services in the US,531130
Mobility Equipment Stores in the US,446199
Model Agencies,711410
Molybdenum & Metal Ore Mining in the US,212299
Monument Makers in the US,327991
Motion Picture & Theatrical Equipment Rental in the US,532490
Motor Oil Manufacturing in the US,324191
Motorcycle Dealership and Repair in the US,441228
"Motorcycle, Bike & Parts Manufacturing in the US",336991
Mouthwash Manufacturing in the US,325611
Movie & Video Distribution in the US,512110
Movie & Video Production in the US,512110
Movie Rental Kiosks in the US,532230
Movie Theaters in the US,512131
Moving Services in the US,484210
Municipal Building Construction in the US,236220
Museums in the US,712110
Music Publishing in the US,512230
Music Streaming Services in the US,519130
Musical Groups & Artists in the US,711130
Musical Instrument & Supplies Stores in the US,451140
Musical Instrument Rental Services in the US,532290
Musical Instrument Repair Services in the US,811490
National Parks & Other Nature Institutions,712190
Natural Disaster & Emergency Relief Services in the US,624230
Natural Food Coloring Manufacturing,325199
Natural Gas Distribution in the US,221210
Natural Gas Liquid Processing in the US,211130
Navigational Instrument Manufacturing in the US,334511
Nephrologists in the US,621111
New Car Dealers in the US,441110
News Syndicates in the US,519110
Newspaper Publishing in the US,511110
Newsprint Manufacturing in the US,322122
Newswire Services in the US,519110
Night Vision Equipment Manufacturing in the US,334519
Non-Hotel Casinos in the US,713210
Nondestructive Testing Services in the US,541380
Nonferrous Metal Foundry Products Manufacturing in the US,331520
Nonferrous Metal Recycling in the US,423930
Nonferrous Metal Refining in the US,331410
Nonferrous Metal Rolling & Alloying in the US,331490
Nonresidential Property Managers in the US,531312
Nuclear Power in the US,221113
Nurse Practitioners in the US,621399
Nursery & Garden Stores in the US,444220
Nursery Schools in the US,624410
Nursing Care Facilities in the US,623110
Nursing Schools in the US,611310
Nutritionists & Dietitians in the US,621399
Occupational Health & Workplace Safety Services in the US,624310
Occupational Therapists in the US,621340
Ocean & Coastal Transportation in the US,483111
Office Furniture Manufacturing in the US,337211
Office Furniture Rental,532420
Office Plant Services in the US,561730
Office Staffing & Temp Agencies in the US,561320
Office Stationery Manufacturing in the US,322230
Office Stationery Wholesaling in the US,424120
Office Supply Stores in the US,453210
Officiant Services in the US,812990
Offshore Oil Rig & Platform Construction in the US,237120
Oil & Gas Field Services in the US,213112
Oil & Gas Pipeline Construction in the US,237120
Oil and Gas Drilling Equipment Manufacturing in the US,333132
Oil Change Services in the US,811191
Oil Drilling & Gas Extraction in the US,211120
Oil Field Drilling Services in the US,213111
Oil Pipeline Transportation in the US,486110
"Oil, Gas & Mining Consultants in the US",541330
Oilseed Farming in the US,111110
Olive Oil Production,311225
Oncologists in the US,621111
Online Antiques & Collectibles Sales in the US,454110
Online Apartment Rental Services in the US,531311
Online Art Sales in the US,454110
Online Automotive Parts & Accessories Sales in the US,454110
Online Baby & Infant Apparel Sales in the US,454110
Online Baby Product Sales in the US,454110
"Online Beer, Wine & Liquor Sales in the US",454110
Online Book Sales in the US,454110
Online Camera & Camcorder Sales,454110
Online Car Dealers in the US,454110
Online Car Rental,532111
Online Children's Toy Sales in the US,454110
Online Computer & Tablet Sales in the US,454110
Online Computer Software Sales in the US,454110
Online Designer Clothing Sales in the US,454110
Online Event Ticket Sales in the US,454110
Online Eyeglasses & Contact Lens Sales in the US,454110
Online Flower Shops in the US,454110
Online Gambling Services in the US,713290
Online Greeting Card Sales in the US,454110
Online Grocery Sales in the US,454110
Online Gun & Ammunition Sales in the US,454110
Online Handbag & Luggage Sales in the US,454110
Online Hardware & Tool Sales in the US,454110
Online Hobby & Craft Supplies Sales in the US,454110
Online Home Furnishing Sales in the US,454110
Online Hotel Booking in the US,561510
Online Household Furniture Sales in the US,454110
Online Industrial Supplies Sales in the US,454110
Online Insurance Brokers in the US,524210
Online Jewelry & Watch Sales in the US,454110
Online Kitchenware Sales in the US,454110
Online Large Kitchen Appliance Sales in the US,454110
Online Legal Services in the US,541110
Online Medical Supplies Sales in the US,454110
Online Men's Clothing Sales in the US,454110
Online Mortgage Brokers in the US,522310
Online Office & School Supply Sales in the US,454110
Online Office Furniture Sales in the US,454110
Online Original Design T-Shirt Sales in the US,454110
Online Paint Sales in the US,454110
Online Payment Processing Software Developers in the US,511210
Online Perfume & Cosmetic Sales in the US,454110
Online Pet Food & Pet Supply Sales in the US,454110
Online Photo Printing in the US,323111
Online Plumbing & Electrical Supply Sales,454110
Online Recruitment Sites in the US,561311
Online Residential Home Sale Listings in the US,531390
Online Shoe Sales in the US,454110
Online Small Electrical Appliance Sales in the US,454110
Online Sporting Apparel Sales in the US,454110
Online Sporting Goods Sales in the US,454110
Online Stock Brokerages in the US,523120
Online Sunglasses Sales,454110
Online Survey Software in the US,511210
Online Television Sales,454110
Online Tutoring Services in the US,611691
Online Used Book Sales in the US,454110
Online Vitamin & Supplement Sales in the US,454110
Online Weight Loss Services in the US,812990
Online Women's Clothing Sales in the US,454110
Onshore Aquaculture,112511
Open-End Investment Funds in the US,525920
Operating Systems & Productivity Software Publishing in the US,511210
Ophthalmic Instrument Manufacturing in the US,339115
Ophthalmologists in the US,621111
Optical Character Recognition Software,511210
Optometrists in the US,621320
Orange & Citrus Groves in the US,111310
Organic Chemical Manufacturing in the US,325199
Organic Chemical Pipeline Transportation in the US,486990
Organic Crop Farming in the US,111998
Ornamental & Architectural Metalwork Manufacturing in the US,332323
Orphanages & Group Homes in the US,623990
Orthodontists in the US,621210
Orthopedic Products Manufacturing in the US,339113
Orthopedists in the US,621111
Oscilloscope Manufacturing,334515
Outdoor Furniture Manufacturing in the US,337125
Outlet Stores in the US,452311
Oven & Stove Manufacturing,335220
Overhead Crane Manufacturing in the US,333923
Oxygen & Hydrogen Gas Manufacturing in the US,325120
Pacemaker Manufacturing,334510
Packaging & Labeling Services in the US,561910
Packaging Machinery Manufacturing in the US,333993
Packing & Shipping Service Franchises,561910
Pain Management Physicians in the US,621111
Paint & Sip Studios in the US,711510
Paint Manufacturing in the US,325510
Paint Remover Manufacturing,325612
Paint Stores in the US,444120
Paint Wholesaling in the US,424950
Paint-Your-Own Pottery Studios in the US,713990
Paintball Fields,713990
Painters in the US,238320
Pallet & Skid Rental in the US,532490
Paper Bag & Disposable Plastic Product Wholesaling in the US,424130
Paper Mills in the US,322121
Paper Product Manufacturing in the US,322200
Paper Wholesaling in the US,424110
Paperboard Drinking Cup Manufacturing,322299
Paperboard Mills in the US,322130
Parachute Manufacturing,314999
Parking Lots & Garages in the US,812930
Party & Event Planners in the US,561920
Party Supply Rental in the US,532299
Pasta Sauce Production,311421
Pathologists in the US,621111
Patisseries and Cake Shops in the US,311811
Paving Contractors in the US,237310
Pawn Shops in the US,522298
Payroll & Bookkeeping Services in the US,541214
Peanut Butter Production in the US,311911
Pediatric Dentists in the US,621210
Pediatricians in the US,621111
Peer-to-Peer Lending Platforms in the US,522298
Performers & Creative Artists in the US,711510
Perfume & Fragrance Manufacturing in the US,325620
Perfume & Fragrance Stores in the US,446120
Periodontists in the US,621210
Personal Chef Services in the US,722310
Personal Finance & Money Management Software Developers in the US,511210
Personal Injury Lawyers & Attorneys in the US,541110
Personal Protective Equipment Manufacturing in the US,339113
Personal Trainers in the US,812990
Personal Watercraft Manufacturing in the US,336612
Personal Waxing & Nail Salons in the US,812199
Pest Control in the US,561710
Pesticide Manufacturing in the US,325320
Pet Cremation Services in the US,812910
Pet Food & Supplies Wholesaling in the US,424990
Pet Food Production in the US,311111
Pet Funeral & Cremation Services in the US,812910
Pet Grooming & Boarding in the US,812910
Pet Hospice in the US,812910
Pet Insurance in the US,524210
Pet Photography Services in the US,541921
PET Scanner Manufacturing,334517
Pet Stores in the US,453910
Pet Training Services in the US,812910
Pet Transportation Services in the US,485991
Petrochemical Manufacturing in the US,325110
Petroleum Refining in the US,324110
Petting Zoos & Tourist Farms in the US,712130
Petting Zoos in the US,712130
Pharmaceutical Contract Management Consulting in the US,541611
Pharmaceuticals Packing & Labeling Services in the US,561910
Pharmaceuticals Wholesaling in the US,424210
Pharmacies & Drug Stores in the US,446110
Pharmacy & Drug Store Franchises,446110
Pharmacy Benefit Management in the US,524292
Phlebologists in the US,621111
Photo Booth Rental in the US,532299
Photofinishing in the US,812921
Photography in the US,541921
Photography Schools in the US,611610
Physical Therapists in the US,621340
Physical Therapy Rehabilitation Centers in the US,621340
Physician Referral Services in the US,561990
Picture Framing Stores,442299
"Piece Goods, Notions & Other Apparel Wholesaling in the US",424310
Pilates & Yoga Studios in the US,713940
Pizza Restaurant Franchises in the US,722513
Pizza Restaurants in the US,722513
Plant & Flower Growing in the US,111422
Plastic & Resin Manufacturing in the US,325211
Plastic Bottle Manufacturing in the US,326160
"Plastic Film, Sheet & Bag Manufacturing in the US",326110
Plastic Pipe & Parts Manufacturing in the US,326122
Plastic Products Miscellaneous Manufacturing in the US,326199
Plastic Surgeons in the US,621111
Plastics & Rubber Machinery Manufacturing in the US,333220
Plastics Wholesaling in the US,424610
Playground & Park Equipment Manufacturing in the US,339920
Playground Design Services in the US,541320
Plumbers in the US,238220
Plumbing & Heating Supplies Wholesaling in the US,423720
Plumbing Service Franchises,238220
Plus-Size Men's Clothing Stores,448110
Plus-Size Women's Clothing Stores in the US,448120
Podiatrists in the US,621391
Point of Sale Software Developers in the US,511210
Poke Shops in the US,722515
Polystyrene Foam Manufacturing in the US,326140
Pool & Billiard Halls,713990
Pop-Up Shops in the US,454210
Popcorn Production in the US,311340
Port & Harbor Operations in the US,488310
Portable Toilet Rental & Septic Tank Cleaning in the US,562991
Portable Toilet Rental in the US,562991
Portfolio Management & Investment Advice in the US,523930
Portfolio Management in the US,523920
Postal Service in the US,491110
Potato Chip Production in the US,311919
Potato Farming in the US,111211
Powder Coating Services in the US,332812
Power Circuit Breaker Manufacturing,335313
Power Conversion Equipment Manufacturing in the US,335311
Power Tool Manufacturing in the US,333991
Power Tools & Other General Purpose Machinery Manufacturing in the US,333991
Pre-Made Salsa Production in the US,311421
Precast Concrete Manufacturing in the US,327390
Precious Metal Dealers in the US,423940
Precision Agriculture Systems & Services in the US,541690
Prefabricated Home Manufacturing in the US,321992
Premium Pet Food Production in the US,311111
Premium Steak Restaurants in the US,722511
Prepaid Credit & Debit Card Providers in the US,522320
Prepared Frozen Fish Production,311712
Pressure Sensor Manufacturing in the US,334513
Pressure Washing Services in the US,561790
Primary Care Doctors in the US,621111
Prime Mover Generator Sets Manufacturing in the US,335312
Print Advertising Distribution in the US,541870
Printing in the US,323111
Printing Services in the US,323111
"Printing, Paper, Food, Textile & Other Machinery Manufacturing in the US",333240
Private Banking Services in the US,523999
Private Boat Charters in the US,487210
Private Detective Services,561611
"Private Equity, Hedge Funds & Investment Vehicles in the US",523920
Private Jet Charters in the US,481211
Private Music Classes in the US,611610
Private Schools in the US,611110
Product Design Services in the US,541420
Product Returns Management Services in the US,561990
Product Warranty Insurance in the US,524210
Professional Employer Organizations in the US,561330
Professional Organizations in the US,813920
"Professional, Scientific and Technical Services in the US",54
Promotional Products in the US,541890
Propane Tank Exchange Services in the US,454310
Property Management in the US,531310
"Property, Casualty and Direct Insurance in the US",524126
Prosthetics Manufacturing in the US,339113
Protective Eyewear Manufacturing,339115
Protective Sports Equipment Manufacturing in the US,339920
Psychiatric Hospitals in the US,622210
Psychiatrists in the US,621112
Psychic Services in the US,812990
"Psychologists, Social Workers & Marriage Counselors in the US",621330
PTFE (Teflon) Coating Manufacturing in the US,325510
Public Opinion Research in the US,541910
Public Relations Firms in the US,541820
Public School Bus Services in the US,485410
Public Schools in the US,611110
Public Transportation in the US,485100
Pump & Compressor Manufacturing in the US,333911
Qi Gong & Tai Chi Studios in the US,713940
Quick Printing in the US,323111
Racing & Individual Sports in the US,711211
Radar & Satellite Operations in the US,517410
Radio Broadcasting in the US,515112
Radiologists in the US,621111
Rail Maintenance Services in the US,488210
Rail Transportation in the US,482110
Railcar Manufacturing in the US,336510
Railroad Car Rental & Leasing in the US,532411
Railroad Track Construction in the US,237990
Ramen Restaurants in the US,722511
Ready-Mix Concrete Manufacturing in the US,327320
Real Estate Agency Franchises,531210
Real Estate and Rental and Leasing in the US,53
Real Estate Appraisal in the US,531320
Real Estate Asset Management & Consulting in the US,531390
Real Estate Investment Trusts in the US,525990
Real Estate Law Firms in the US,541110
Real Estate Loans & Collateralized Debt in the US,522292
Real Estate Photography in the US,541922
Real Estate Sales & Brokerage in the US,531210
Real Estate Schools in the US,611519
Real-Time Traffic Information Providers in the US,518210
Record Stores in the US,451140
Recordable Media Manufacturing in the US,334613
Recreational Vehicle Dealers in the US,441210
Recreational Vehicle Manufacturing in the US,336214
Recyclable Material Wholesaling in the US,423930
Recycling Facilities in the US,562920
Refined Petroleum Pipeline Transportation in the US,486910
Refrigerated Storage in the US,493120
Refrigeration Equipment Wholesaling in the US,423740
Refrigerator & Freezer Manufacturing,335220
Regional Banks in the US,522110
Reinsurance Carriers in the US,524130
Relaxation Drink Production in the US,312111
Religious Organizations in the US,813110
Remediation & Environmental Cleanup Services in the US,562910
Remodeling in the US,236118
Rendering & Meat Byproduct Processing in the US,311613
Renters' Insurance in the US,524126
Repossession Services,561491
Residential Cleaning Service Franchises,561720
Residential Cleaning Services in the US,561720
Residential Intellectual Disability Facilities in the US,623210
Residential Property Managers in the US,531311
Residential RV & Trailer Park Operators in the US,721211
Residential Senior Care Franchises,623311
Respiratory Protection Equipment Manufacturing in the US,339113
Restaurant & Hotel Equipment Wholesaling in the US,423440
Restaurant Construction in the US,236220
Restaurant Supply Stores in the US,423440
Resume Writing and Editing Services in the US,561410
Retail Store Fixture Dealers in the US,423440
Retail Trade in the US,44-45
Retina Specialists in the US,621111
Retirement & Pension Plans in the US,525110
Retirement Communities in the US,623311
Reverse Mortgages Providers,522292
Rheumatoid Arthritis Medication Manufacturing,325412
Rheumatologists in the US,621111
Ride-Sharing Services in the US,485310
"Risk Management, Insurance Advisory & Consulting in the US",524298
Road & Highway Construction in the US,237310
Robotic Surgery Equipment Manufacturing in the US,334510
Roofing & Siding Contractors in the US,238160
Roofing Contractors in the US,238160
"Roofing, Siding & Insulation Wholesaling in the US",423330
RTD Coffee Production in the US,311920
RTD Mixed Spirit Production in the US,312140
RTD Tea Production in the US,312130
Rubber Product Manufacturing in the US,326200
Rum Production in the US,312140
RV & Camper Van Rental in the US,532120
Safe & Vault Manufacturing in the US,332999
Safety Equipment & Supplies Distributors in the US,423450
Salad Dressing Production in the US,311941
Same-Day Delivery Services in the US,492210
Sand & Gravel Mining in the US,212321
Sandblasting Services in the US,238990
Sandwich & Sub Restaurants in the US,722513
Sandwich & Sub Store Franchises,722513
Sanitary Paper Product Manufacturing in the US,322291
Satellite Telecommunications Providers in the US,517410
Satellite TV Providers in the US,517410
Savings Banks & Thrifts in the US,522120
Savings Institutions & Other Depository Credit Intermediation in the US,522120
Sawmills & Wood Production in the US,321113
Scaffolding Contractors in the US,238990
Scale & Balance Manufacturing,333998
Scheduled and Charter Bus Services in the US,485210
School Supplies Wholesaling in the US,424120
Scientific & Economic Consulting in the US,541690
Scientific Research & Development in the US,541715
Scrap Metal Recycling in the US,423930
"Screw, Nut & Bolt Manufacturing in the US",332722
Seafood Preparation in the US,311710
Search Engines in the US,519130
"Seasoning, Sauce and Condiment Production in the US",311940
Securities Brokering in the US,523120
Security Alarm Services in the US,561621
Security Guard & Patrol Service Franchises,561612
Security Services in the US,561612
Security Software Publishing in the US,511210
Semiconductor & Circuit Manufacturing in the US,334413
Semiconductor Machinery Manufacturing in the US,333242
SEO & Internet Marketing Consultants in the US,541613
"Septic, Drain & Sewer Cleaning Services in the US",562991
Serviced Office Leasing in the US,531120
Settlement Funding Companies,522390
Sewage Treatment Facilities in the US,221320
Sewer & Pipeline Rehabilitation in the US,237110
Sex Therapists in the US,621330
Shared Office Spaces in the US,531120
Shaving Razor Manufacturing in the US,332211
Sheep Farming in the US,112410
"Sheet Metal, Window & Door Manufacturing in the US",332321
Sheet Music Publishers,511130
Sheet-Metal Roofing Manufacturing in the US,332322
Ship Building in the US,336611
Shipping Container Manufacturing in the US,332439
Shoe & Footwear Manufacturing in the US,316210
Shoe Repair in the US,811430
Shoe Stores in the US,448210
Shooting Ranges in the US,713990
Shopping Mall Management in the US,531120
Shortline Railroad Operation in the US,482112
Sightseeing Transportation in the US,487110
Sign & Banner Manufacturing Franchises,339950
Sign & Banner Shops in the US,339950
Silicone Manufacturing in the US,325212
Single Location Full-Service Restaurants in the US,722511
Skate Shops in the US,451110
Ski & Snowboard Rental in the US,532284
Ski & Snowboard Resorts in the US,713920
Ski & Snowboard Shops in the US,451110
Sleep Disorder Clinics in the US,621498
Small Specialty Retail Stores in the US,453998
Smart Meter Manufacturing in the US,334514
Smart Thermostat Manufacturing in the US,334512
Smartphone App Developers in the US,511210
Snack Food Production in the US,311910
Snowplow Manufacturing in the US,333120
Snowplowing Services in the US,561790
Soap & Cleaning Compound Manufacturing in the US,325611
Social Network Game Development in the US,511210
Social Networking Sites in the US,519130
Soda Production in the US,312111
"Soft Drink, Baked Goods & Other Grocery Wholesaling in the US",424490
Software Publishing in the US,511210
Software Testing Services in the US,541519
Solar Farm Developers in the US,221114
Solar Panel Installation in the US,238210
Solar Panel Manufacturing in the US,334413
Solar Power in the US,221114
Solar Water Heater Installation in the US,238220
Soy & Almond Milk Production in the US,311514
Soybean Farming in the US,111110
Soybean Processing in the US,311224
Space Vehicle & Missile Manufacturing in the US,336414
Sparkling Wine Production in the US,312130
Special Needs Transportation in the US,485991
Specialist Doctors in the US,621111
Specialized Storage & Warehousing in the US,493190
Specialty Food Stores in the US,445299
Specialty Hospitals in the US,622310
Speech & Voice Recognition Software Developers in the US,511210
Speech-Language Pathologists in the US,621340
Sporting Goods Stores in the US,451110
Sporting Goods Wholesaling in the US,423910
Sports & Athletic Field Construction in the US,237990
Sports Bars in the US,722410
Sports Coaching in the US,611620
Sports Equipment Rental Services in the US,532284
Sports Franchises in the US,711211
Sports Medicine Practitioners in the US,621111
Sports Memorabilia & Collectibles Stores in the US,453998
Sports Stadium Construction in the US,236220
Stair Contractors in the US,238190
Steam & Air-Conditioning Supply in the US,221330
Steel Framing in the US,238130
Steel Rolling & Drawing in the US,331221
Steel Wire Drawing,331222
Stevedoring & Marine Cargo Handling in the US,488320
Stock & Broth Production,311999
Stock & Commodity Exchanges in the US,523210
Stone Mining in the US,212311
"Stone, Concrete & Clay Wholesaling in the US",423320
Storage & Warehouse Leasing in the US,531130
Street Cleaning Services,561790
Street Vendors in the US,454390
Strip Clubs in the US,721120
Structural Metal Product Manufacturing in the US,332312
Subprime Auto Loans in the US,522291
Sugar Processing in the US,311310
Sugarcane Harvesting in the US,115113
Summer Camps in the US,721214
Sunglasses Stores,446130
Sunscreen Manufacturing in the US,325620
Supermarkets & Grocery Stores in the US,445110
Supply Chain Management Services in the US,541614
Surf Shops in the US,451110
Surgical Apparel Manufacturing in the US,339113
Surgical Instrument Manufacturing in the US,339112
Surveying & Mapping Services in the US,541370
Sushi Restaurants in the US,722511
Sustainable Building Material Manufacturing in the US,327999
